url,status_code,CMS,category
http://www.appster.com.au/,200,WordPress,Information Technology
http://www.roi.com.au/,200,WordPress,Business
http://www.camerahouse.com.au/,200,Magento,Shopping
http://www.superguide.com.au/,200,WordPress,Finance and Banking
http://www.anytimefitness.com.au/,200,WordPress,Health and Wellness
http://www.bounceinc.com.au/,200,WordPress,Sports
http://www.suppsrus.com.au/,200,Magento,Health and Wellness
http://www.aminoz.com.au/,200,Magento,Health and Wellness
http://www.omnivore.com.au/,200,WordPress,Web-based Email
http://www.jaxtyres.com.au/,200,Magento,Personal Vehicles
http://www.binaryoptions.net.au/,200,WordPress,Information Technology
http://www.mitre10.com.au/,200,Magento,Business
http://www.efashion.net.au/,200,WordPress,Business
http://www.kookai.com.au/,200,Shopify,Shopping
http://www.goodness.com.au/,200,Magento,Business
http://www.seocopilot.com.au/,200,WordPress,Business
http://www.bicycles.net.au/,200,WordPress,Sports
http://www.propertyupdate.com.au/,200,WordPress,Finance and Banking
http://www.baby-direct.com.au/,200,Magento,Shopping
http://www.stuckonyou.com.au/,200,Magento,Shopping
http://www.racingnsw.com.au/,200,WordPress,Gambling
http://www.4cabling.com.au/,200,Magento,Information Technology
http://www.carpetcourt.com.au/,200,Magento,Business
http://www.macrobusiness.com.au/,200,WordPress,Business
http://www.mattblatt.com.au/,200,Magento,Shopping
http://www.moonlight.com.au/,200,WordPress,Entertainment
http://www.barbequesgalore.com.au/,200,Magento,Shopping
http://www.hushpuppies.com.au/,200,Magento,Business
http://www.totalfloorsandingandpolishing.com.au/,200,WordPress,Business
http://www.bedbathntable.com.au/,200,Magento,Business
http://www.probonoaustralia.com.au/,200,WordPress,General Organizations
http://www.beserk.com.au/,200,Shopify,Shopping
http://www.twobluebirdies.com.au/,200,Magento,Shopping
http://www.hippoblue.com.au/,200,Magento,Education
http://www.localsmile.com.au/,200,WordPress,News and Media
http://www.radiotoday.com.au/,200,WordPress,News and Media
http://www.titandigital.com.au/,200,WordPress,Information Technology
http://www.klika.com.au/,200,Magento,Shopping
http://www.connective.com.au/,200,WordPress,Finance and Banking
http://www.brisbanekids.com.au/,200,WordPress,General Organizations
http://www.royyoungchemist.com.au/,200,Magento,Shopping
http://www.macfixit.com.au/,200,Magento,Information Technology
http://www.pajeroclub.com.au/,200,WordPress,Sports
http://www.dtbaker.com.au/,200,WordPress,Information Technology
http://www.middleagedmama.com.au/,200,WordPress,Personal Websites and Blogs
http://www.lincraft.com.au/,200,Magento,Business
http://www.revengesales.com.au/,200,WordPress,Shopping
http://www.roxcii.com.au/,200,Shopify,Business
http://www.colettehayman.com.au/,200,Shopify,Shopping
http://www.converga.com.au/,200,WordPress,Business
http://www.chibebe.com.au/,200,Shopify,Shopping
http://www.gomarkets.com.au/,200,WordPress,News and Media
http://www.kitepower.com.au/,200,Shopify,Sports
http://www.kingliving.com.au/,200,Magento,Shopping
http://www.earlysettler.com.au/,200,Magento,Business
http://www.visser.com.au/,200,WordPress,Information Technology
http://www.totaltools.com.au/,200,Magento,Business
http://www.jw.com.au/,200,Magento,Information Technology
http://www.dollboxx.com.au/,200,Shopify,Shopping
http://www.eldersrealestate.com.au/,200,WordPress,Real Estate
http://www.wmegroup.com.au/,200,WordPress,Business
http://www.legalvision.com.au/,200,WordPress,Business
http://www.lebara.com.au/,200,WordPress,Information Technology
http://www.kymodo.com.au/,200,WordPress,Business
http://www.tinyme.com.au/,200,Magento,Shopping
http://www.freetronics.com.au/,200,Shopify,Business
http://www.therefinedgeek.com.au/,200,WordPress,Personal Websites and Blogs
http://www.excelphysio.com.au/,200,WordPress,Health and Wellness
http://www.samesame.com.au/,200,WordPress,Society and Lifestyles
http://www.wittner.com.au/,200,Magento,Shopping
http://www.ctrlf5webservices.com.au/,200,WordPress,Information Technology
http://www.wptech.com.au/,200,WordPress,Information Technology
http://www.bendonlingerie.com.au/,200,Magento,Lingerie and Swimsuit
http://www.harrisfarm.com.au/,200,Shopify,Business
http://www.connor.com.au/,200,Magento,Travel
http://www.suitmeup.com.au/,200,WordPress,Business
http://www.replas.com.au/,200,WordPress,Business
http://www.joycemayne.com.au/,200,Magento,Business
http://www.dxracer.com.au/,200,Magento,Shopping
http://www.clubtroppo.com.au/,200,WordPress,Personal Websites and Blogs
http://www.camilla.com.au/,200,Magento,Business
http://www.oceanhomeloans.com.au/,200,WordPress,Finance and Banking
http://www.breville.com.au/,200,Shopify,Business
http://www.xeniaboutique.com.au/,200,Shopify,Shopping
http://www.dreamtimeresorts.com.au/,200,WordPress,Travel
http://www.ariadental.net.au/,200,WordPress,Health and Wellness
http://www.biante.com.au/,200,Shopify,Shopping
http://www.tarocash.com.au/,200,Magento,Shopping
http://www.theweekendedition.com.au/,200,WordPress,News and Media
http://www.turmericlife.com.au/,200,WordPress,Entertainment
http://www.craftonline.com.au/,200,Shopify,Shopping
http://www.gassani.com.au/,200,WordPress,Business
http://www.orcinternational.com.au/,200,WordPress,Business
http://www.factoryfast.com.au/,200,OpenCart,Shopping
http://www.melbournegirl.com.au/,200,WordPress,Society and Lifestyles
http://www.laura-ashley.com.au/,200,Magento,Business
http://www.inspireeducation.net.au/,200,WordPress,Education
http://www.everydayhero.com.au/,200,WordPress,General Organizations
http://www.comparetv.com.au/,200,WordPress,Entertainment
http://www.doncasterhilldental.com.au/,200,WordPress,Health and Wellness
http://www.bicyclenetwork.com.au/,200,WordPress,Health and Wellness
http://www.cirrusmedia.com.au/,200,WordPress,Information Technology
http://www.racingjobs.com.au/,200,WordPress,Job Search
http://www.theweeklyreview.com.au/,200,WordPress,Society and Lifestyles
http://www.clarks.com.au/,200,Magento,Business
http://www.yellowtrace.com.au/,200,WordPress,Business
http://www.kloud.com.au/,200,WordPress,Business
http://www.sheike.com.au/,200,Magento,Shopping
http://www.mybusinesscentral.com.au/,200,WordPress,Business
http://www.tonybianco.com.au/,200,Magento,Business
http://www.boostjuice.com.au/,200,WordPress,Business
http://www.babykingdom.com.au/,200,Magento,Shopping
http://www.gymandfitness.com.au/,200,Shopify,Business
http://www.annestreetpartners.com.au/,200,WordPress,Business
