url,status_code,CMS
http://www.bedbathntable.com.au/,200,Magento
http://www.probonoaustralia.com.au/,200,WordPress
http://www.beserk.com.au/,200,Shopify
http://www.twobluebirdies.com.au/,200,Magento
http://www.hippoblue.com.au/,200,Magento
http://www.localsmile.com.au/,200,WordPress
http://www.radiotoday.com.au/,200,WordPress
http://www.titandigital.com.au/,200,WordPress
http://www.klika.com.au/,200,Magento
http://www.connective.com.au/,200,WordPress
http://www.brisbanekids.com.au/,200,WordPress
http://www.royyoungchemist.com.au/,200,Magento
http://www.macfixit.com.au/,200,Magento
http://www.pajeroclub.com.au/,200,WordPress
http://www.dtbaker.com.au/,200,WordPress
http://www.middleagedmama.com.au/,200,WordPress
http://www.lincraft.com.au/,200,Magento
http://www.revengesales.com.au/,200,WordPress
http://www.roxcii.com.au/,200,Shopify
http://www.colettehayman.com.au/,200,Shopify
http://www.converga.com.au/,200,WordPress
http://www.chibebe.com.au/,200,Shopify
http://www.gomarkets.com.au/,200,WordPress
http://www.kitepower.com.au/,200,Shopify
http://www.kingliving.com.au/,200,Magento
http://www.earlysettler.com.au/,200,Magento
http://www.visser.com.au/,200,WordPress
http://www.totaltools.com.au/,200,Magento
http://www.jw.com.au/,200,Magento
http://www.dollboxx.com.au/,200,Shopify
http://www.eldersrealestate.com.au/,200,WordPress
http://www.wmegroup.com.au/,200,WordPress
http://www.legalvision.com.au/,200,WordPress
http://www.lebara.com.au/,200,WordPress
http://www.kymodo.com.au/,200,WordPress
http://www.tinyme.com.au/,200,Magento
http://www.freetronics.com.au/,200,Shopify
http://www.therefinedgeek.com.au/,200,WordPress
http://www.excelphysio.com.au/,200,WordPress
http://www.samesame.com.au/,200,WordPress
http://www.wittner.com.au/,200,Magento
http://www.ctrlf5webservices.com.au/,200,WordPress
http://www.wptech.com.au/,200,WordPress
http://www.bendonlingerie.com.au/,200,Magento
http://www.harrisfarm.com.au/,200,Shopify
http://www.connor.com.au/,200,Magento
http://www.suitmeup.com.au/,200,WordPress
http://www.replas.com.au/,200,WordPress
http://www.joycemayne.com.au/,200,Magento
http://www.dxracer.com.au/,200,Magento
http://www.clubtroppo.com.au/,200,WordPress
http://www.camilla.com.au/,200,Magento
http://www.oceanhomeloans.com.au/,200,WordPress
http://www.breville.com.au/,200,Shopify
http://www.xeniaboutique.com.au/,200,Shopify
http://www.dreamtimeresorts.com.au/,200,WordPress
http://www.ariadental.net.au/,200,WordPress
http://www.biante.com.au/,200,Shopify
http://www.tarocash.com.au/,200,Magento
http://www.theweekendedition.com.au/,200,WordPress
http://www.turmericlife.com.au/,200,WordPress
http://www.craftonline.com.au/,200,Shopify
http://www.gassani.com.au/,200,WordPress
http://www.orcinternational.com.au/,200,WordPress
http://www.factoryfast.com.au/,200,OpenCart
http://www.melbournegirl.com.au/,200,WordPress
http://www.laura-ashley.com.au/,200,Magento
http://www.inspireeducation.net.au/,200,WordPress
http://www.everydayhero.com.au/,200,WordPress
http://www.comparetv.com.au/,200,WordPress
http://www.doncasterhilldental.com.au/,200,WordPress
http://www.bicyclenetwork.com.au/,200,WordPress
http://www.cirrusmedia.com.au/,200,WordPress
http://www.racingjobs.com.au/,200,WordPress
http://www.theweeklyreview.com.au/,200,WordPress
http://www.clarks.com.au/,200,Magento
http://www.yellowtrace.com.au/,200,WordPress
http://www.kloud.com.au/,200,WordPress
http://www.sheike.com.au/,200,Magento
http://www.mybusinesscentral.com.au/,200,WordPress
http://www.tonybianco.com.au/,200,Magento
http://www.boostjuice.com.au/,200,WordPress
http://www.babykingdom.com.au/,200,Magento
http://www.gymandfitness.com.au/,200,Shopify
http://www.annestreetpartners.com.au/,200,WordPress
http://www.cocorepublic.com.au/,200,Magento
http://www.theshovel.com.au/,200,WordPress
http://www.tafecourses.com.au/,200,WordPress
http://www.lawpath.com.au/,200,WordPress
http://www.antheacrawford.com.au/,200,Magento
http://www.skinnymixers.com.au/,200,WordPress
http://www.modernwedding.com.au/,200,WordPress
http://www.dresshop.com.au/,200,Magento
http://www.adcentre.com.au/,200,WordPress
http://www.golights.com.au/,200,Magento
http://www.shoutagency.com.au/,200,WordPress
http://www.kbbdigital.com.au/,200,WordPress
http://www.ticketbooth.com.au/,200,WordPress
http://www.jdlighting.com.au/,200,Magento
http://www.gdayjapan.com.au/,200,WordPress
http://www.freshforkids.com.au/,200,WordPress
http://www.gormanshop.com.au/,200,Magento
http://www.windsorsmith.com.au/,200,Magento
http://www.mjbseminars.com.au/,200,WordPress
http://www.popcherry.com.au/,200,Magento
http://www.swimweargalore.com.au/,200,Magento
http://www.blankwall.com.au/,200,Magento
http://www.dtechdrivertraining.com.au/,200,WordPress
http://www.experian.com.au/,200,WordPress
http://www.aussiebroadband.com.au/,200,WordPress
http://www.pcaexpress.com.au/,200,WordPress
http://www.kennards.com.au/,200,Magento
http://www.goldentyreaustralia.com.au/,200,Magento
http://www.hottoner.com.au/,200,OpenCart
http://www.nicks.com.au/,200,Magento
http://www.hypop.com.au/,200,Shopify
http://www.paddypallin.com.au/,200,Magento
http://www.etax.com.au/,200,WordPress
http://www.canstarblue.com.au/,200,WordPress
http://www.vidaxl.com.au/,200,Magento
http://www.josephgeorge.com.au/,200,WordPress
http://www.spelldesigns.com.au/,200,Shopify
http://www.socialmedianews.com.au/,200,WordPress
http://www.roxyaustralia.com.au/,200,Magento
http://www.china.com.au/,200,WordPress
http://www.esther.com.au/,200,Shopify
http://www.coffeeclub.com.au/,200,WordPress
http://www.cancercouncil.com.au/,200,WordPress
http://www.buymobile.com.au/,200,Shopify
http://www.awol.com.au/,200,WordPress
http://www.undieguys.com.au/,200,WordPress
http://www.4seotraining.com.au/,200,WordPress
http://www.icedesign.com.au/,200,Magento
http://www.bikebiz.com.au/,200,Magento
http://www.drummondgolf.com.au/,200,Magento
http://www.keepcalmgetorganised.com.au/,200,WordPress
http://www.dcshoes.com.au/,200,Magento
http://www.taggle.com.au/,200,WordPress
http://www.socialgarden.com.au/,200,WordPress
http://www.cambuy.com.au/,200,Shopify
http://www.hospitalitymagazine.com.au/,200,WordPress
http://www.clickonfurniture.com.au/,200,Magento
